article_id	span_start	span_end	span	context	label
111111113	3658	3663	alien	"""This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"" ICE Director Thomas Homan said in a statement on Thursday."	Loaded_Language
701299732	588	628	the crisis in Madagascar had yet to peak	Ashok Chopra, a professor of microbiology and immunology at the University of Texas, told The Sun Online the crisis in Madagascar had yet to peak.	Appeal_to_Authority
790266787	1921	1958	ridiculous and from the Twilight Zone	"In response, Kavanaugh labeled Swetnick's salacious allegations ""ridiculous and from the Twilight Zone."""	Loaded_Language
783702663	11731	11877	"Archbishop Salvatore Cordileone of San Francisco wrote a letter to his faithful which ""speaks to Vigano's integrity and sincere love of the Church"	"There is, therefore, no reasonable and plausible cause to doubt the truth content of the document of Archbishop Carlo Maria Viganò.” - Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.” - [And just two days ago, Archbishop Salvatore Cordileone of San Francisco wrote a letter to his faithful which ""speaks to Vigano's integrity and sincere love of the Church.""]"	Appeal_to_Authority
697959084	1689	1790	Keep in mind, this is all information that the police and the FBI has hidden from the American people	Keep in mind, this is all information that the police and the FBI has hidden from the American people.	Flag-Waving
766632016	2640	2674	banished, tortured and annihilated	"""Kuwaiti Cleric Sheikh Jihad Al-‘Ayesh Denies the Holocaust and the Existence of Gas Chambers: How Big a Bakery Would You Need to Make 50,000 Loaves of Bread?,” MEMRI, May 26, 2018: Kuwaiti cleric Sheikh Jihad Al-‘Ayesh delivered a speech in which he said that the figure of six million Jews killed in the Holocaust was a “historical lie,” but that Hitler “knew the truth about the Jews” and therefore began “tormenting and persecuting them.” “The Jews were banished, tortured and annihilated because of their deeds."	Loaded_Language
761546223	513	526	homeschooling	Many potential homeschooling parents are concerned about the failure of school administrators to effectively protect children from bullying by other students.	Repetition
762546428	3326	3341	absolute horror	And as schools continue to fail, and authoritarian policies continue to wreak havoc on our society, more will wake up to the absolute horror of what allowing the state to educate our children has done to the moral fabric of humanity.	Loaded_Language
783702663	24612	24642	a flagrantly active homosexual	This is thanks in large measure to Bergoglio, who made a flagrantly active homosexual, Monsignor Battista Ricca, “prelate of the gay lobby,” no less than head of his papal household.	Name_Calling,Labeling
729549972	1845	1888	the farthest planetary encounter in history	"""That New Year's flight past MU69 will be the farthest planetary encounter in history, happening one billion miles beyond the Pluto system - which New Horizons famously explored in July 2015,"" said NASA."	Exaggeration,Minimisation
759468687	4534	4542	Infidels	Meanwhile, it would be dangerous, suicidal folly for Infidels to pretend that Ramadan is not the month of jihad.	Name_Calling,Labeling
783702663	7073	7126	a disgruntled former employee” and “always a crackpot	Only hours after Viganò’s sworn testimony appeared online, the professional Catholic dissident Sean Michael Winters, writing for National Catholic Reporter, smeared the former Apostolic Nuncio to the United States, who holds doctorates in both civil and canon law, as “a trafficker in conspiracy theories who mixes fact, fiction and venom,” “more than a little obsessed with homosexuality”—like Oliver Stone, who “was obsessed with the grassy knoll”—“a disgruntled former employee” and “always a crackpot.” Without addressing the merits, Winters dismissed Archbishop Viganò’s “wild claims” about bishops who are “subverting Catholic doctrine on homosexuality” and accused the Archbishop, along with unnamed other bishops and archbishops, of “speak[ing] about gay people with such hatred…” Winters issues the dire warning that “A putsch is afoot and if the U.S.	Name_Calling,Labeling
765029945	1502	1561	The attacks here are motivated by a desire for open borders	The attacks here are motivated by a desire for open borders.	Causal_Oversimplification
790665855	4178	4223	to be executed over the sex abuse allegations	While the left is calling for Kavanaugh to be executed over the sex abuse allegations and the right is attacking the alleged victims, others in Congress who see through the facade and media distraction are trying to draw attention to the fact that Kavanaugh is a champion of the police and surveillance state and an enemy to privacy.	Loaded_Language
698780559	541	571	cramming lies down our throats	His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas.	Loaded_Language
